Classifier,Configuration,Accuracy,Precision,Recall,F1-Score
SVM,baseline,94.5,98.4,90.5,94.3
SVM,median,95.2,95.9,94.5,95.2
SVM,clahe,97.0,98.5,95.5,97.0
SVM,both,97.2,97.0,97.5,97.3
Random Forest,baseline,98.2,99.5,97.0,98.2
Random Forest,median,97.5,98.0,97.0,97.5
Random Forest,clahe,98.0,98.5,97.5,98.0
Random Forest,both,97.8,97.5,98.0,97.8
KNN,baseline,95.0,98.9,91.0,94.8
KNN,median,94.0,94.9,93.0,93.9
KNN,clahe,97.2,99.0,95.5,97.2
KNN,both,96.5,97.9,95.0,96.4
Logistic Regression,baseline,94.2,97.8,90.5,94.0
Logistic Regression,median,93.8,94.4,93.0,93.7
Logistic Regression,clahe,94.0,95.8,92.0,93.9
Logistic Regression,both,94.2,95.4,93.0,94.2
